date,measure_key,measure_label,unit,value,flag
1995-08-27,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,87.98,
1995-08-28,deaths_1995,"Daily deaths, 1995",deaths,140,
1995-08-28,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,162.2727273,
1995-08-28,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,82.04,
1995-08-29,deaths_1995,"Daily deaths, 1995",deaths,152,
1995-08-29,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,148.9090909,
1995-08-29,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,87.98,
1995-08-30,deaths_1995,"Daily deaths, 1995",deaths,171,
1995-08-30,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,165.4545455,
1995-08-30,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,91.94,
1995-08-31,deaths_1995,"Daily deaths, 1995",deaths,172,
1995-08-31,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,158.3636364,
1995-08-31,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,87.08,
